"lab","sample","concentration","method","transit_time"
378,548,114.7,"Siemens ADVIA Centaur",4
378,549,77.8,"Siemens ADVIA Centaur",4
378,550,42.7,"Siemens ADVIA Centaur",4
379,546,56.2,"Abbott Alinity i",1
379,547,77.3,"Abbott Alinity i",1
379,548,95.7,"Abbott Alinity i",1
379,549,65.2,"Abbott Alinity i",1
379,550,25.7,"Abbott Alinity i",1
380,546,57,"Siemens ADVIA Centaur",8
380,547,77.8,"Siemens ADVIA Centaur",8
380,548,95.3,"Siemens ADVIA Centaur",8
380,549,72.4,"Siemens ADVIA Centaur",8
380,550,37.2,"Siemens ADVIA Centaur",8
381,546,57.1,"DiaSorin Liaison Total",6
381,547,68.1,"DiaSorin Liaison Total",6
381,548,95.1,"DiaSorin Liaison Total",6
381,549,64.6,"DiaSorin Liaison Total",6
381,550,29.3,"DiaSorin Liaison Total",6
382,546,60,"DiaSorin Liaison Total",7
382,547,81,"DiaSorin Liaison Total",7
382,548,110,"DiaSorin Liaison Total",7
382,549,65,"DiaSorin Liaison Total",7
382,550,32,"DiaSorin Liaison Total",7
383,546,51.8,"Abbott Architect - New (5P02)",14
383,547,74.2,"Abbott Architect - New (5P02)",14
383,548,93.8,"Abbott Architect - New (5P02)",14
383,549,60.8,"Abbott Architect - New (5P02)",14
383,550,24.4,"Abbott Architect - New (5P02)",14
384,546,52.7,"Abbott Architect - New (5P02)",1
384,547,74.9,"Abbott Architect - New (5P02)",1
384,548,98.1,"Abbott Architect - New (5P02)",1
384,549,66.3,"Abbott Architect - New (5P02)",1
384,550,24.6,"Abbott Architect - New (5P02)",1
385,546,48,"Roche Total 25OHD",3
385,547,71,"Roche Total 25OHD",3
385,548,88,"Roche Total 25OHD",3
385,549,60,"Roche Total 25OHD",3
385,550,25,"Roche Total 25OHD",3
386,546,51.5,"Abbott Architect - New (5P02)",9
386,547,70,"Abbott Architect - New (5P02)",9
386,548,91.8,"Abbott Architect - New (5P02)",9
386,549,61.3,"Abbott Architect - New (5P02)",9
386,550,23.3,"Abbott Architect - New (5P02)",9
387,546,59,"DIAsource Total 25OHD RIA",3
387,547,76,"DIAsource Total 25OHD RIA",3
387,548,109,"DIAsource Total 25OHD RIA",3
387,549,71,"DIAsource Total 25OHD RIA",3
387,550,28.5,"DIAsource Total 25OHD RIA",3
388,546,55.6,"DIAsource Total 25OHD ELISA",3
388,547,68.8,"DIAsource Total 25OHD ELISA",3
388,548,95.5,"DIAsource Total 25OHD ELISA",3
388,549,67.4,"DIAsource Total 25OHD ELISA",3
388,550,32.3,"DIAsource Total 25OHD ELISA",3
389,546,58.5,"LC-MS-MS",20
389,547,85.8,"LC-MS-MS",20
389,548,99.8,"LC-MS-MS",20
389,549,56.7,"LC-MS-MS",20
389,550,25.2,"LC-MS-MS",20
390,546,54,"DiaSorin Liaison Total",7
390,547,76.5,"DiaSorin Liaison Total",7
390,548,88.3,"DiaSorin Liaison Total",7
390,549,67,"DiaSorin Liaison Total",7
390,550,29.3,"DiaSorin Liaison Total",7
391,546,47,"Abbott Architect - New (5P02)",3
391,547,67,"Abbott Architect - New (5P02)",3
391,548,94,"Abbott Architect - New (5P02)",3
391,549,59,"Abbott Architect - New (5P02)",3
391,550,23,"Abbott Architect - New (5P02)",3
392,546,55.3,"LC-MS-MS",20
392,547,84.3,"LC-MS-MS",20
392,548,101.7,"LC-MS-MS",20
392,549,63.7,"LC-MS-MS",20
392,550,20.6,"LC-MS-MS",20
393,546,52.5,"IDS-iSYS",10
393,547,68.1,"IDS-iSYS",10
393,548,91.1,"IDS-iSYS",10
393,549,66.2,"IDS-iSYS",10
393,550,26.6,"IDS-iSYS",10
394,546,50,"Beckman Unicel Dxi Total 25OHD",1
394,547,75,"Beckman Unicel Dxi Total 25OHD",1
394,548,89,"Beckman Unicel Dxi Total 25OHD",1
394,549,55,"Beckman Unicel Dxi Total 25OHD",1
394,550,22,"Beckman Unicel Dxi Total 25OHD",1
395,546,54,"LC-MS-MS",2
395,547,68,"LC-MS-MS",2
395,548,82,"LC-MS-MS",2
395,549,52,"LC-MS-MS",2
395,550,22,"LC-MS-MS",2
396,546,47.2,"Abbott Architect - New (5P02)",1
396,547,66.9,"Abbott Architect - New (5P02)",1
396,548,90.5,"Abbott Architect - New (5P02)",1
396,549,56.6,"Abbott Architect - New (5P02)",1
396,550,NA,"Abbott Architect - New (5P02)",1
397,546,45.9,"Abbott Architect - New (5P02)",1
397,547,64.8,"Abbott Architect - New (5P02)",1
397,548,90.1,"Abbott Architect - New (5P02)",1
397,549,55.1,"Abbott Architect - New (5P02)",1
397,550,20.1,"Abbott Architect - New (5P02)",1
398,546,52.4,"LC-MS-MS",7
398,547,64.8,"LC-MS-MS",7
398,548,82.8,"LC-MS-MS",7
398,549,67,"LC-MS-MS",7
398,550,21.3,"LC-MS-MS",7
399,546,48.2,"Roche Total 25OHD",6
399,547,80,"Roche Total 25OHD",6
399,548,118.4,"Roche Total 25OHD",6
399,549,78.3,"Roche Total 25OHD",6
399,550,22.8,"Roche Total 25OHD",6
400,546,51.4,"LC-MS-MS",7
400,547,72.7,"LC-MS-MS",7
400,548,85,"LC-MS-MS",7
400,549,60.3,"LC-MS-MS",7
400,550,23.5,"LC-MS-MS",7
401,546,48,"Abbott Architect - New (5P02)",4
401,547,69,"Abbott Architect - New (5P02)",4
401,548,89,"Abbott Architect - New (5P02)",4
401,549,59,"Abbott Architect - New (5P02)",4
401,550,24,"Abbott Architect - New (5P02)",4
402,546,50,"LC-MS-MS",10
402,547,73,"LC-MS-MS",10
402,548,97,"LC-MS-MS",10
402,549,66,"LC-MS-MS",10
402,550,27,"LC-MS-MS",10
403,546,63,"Siemens ADVIA Centaur",7
403,547,80,"Siemens ADVIA Centaur",7
403,548,105,"Siemens ADVIA Centaur",7
403,549,74,"Siemens ADVIA Centaur",7
403,550,37,"Siemens ADVIA Centaur",7
404,546,49.8,"Roche Total 25OHD",1
404,547,69.1,"Roche Total 25OHD",1
404,548,85.4,"Roche Total 25OHD",1
404,549,55.7,"Roche Total 25OHD",1
404,550,22.6,"Roche Total 25OHD",1
405,546,53.4,"Roche Vitamin D Total II",12
405,547,72,"Roche Vitamin D Total II",12
405,548,92.5,"Roche Vitamin D Total II",12
405,549,62.8,"Roche Vitamin D Total II",12
405,550,28.5,"Roche Vitamin D Total II",12
406,546,44.6,"Beckman Unicel Dxi Total 25OHD",8
406,547,69.6,"Beckman Unicel Dxi Total 25OHD",8
406,548,81,"Beckman Unicel Dxi Total 25OHD",8
406,549,62.5,"Beckman Unicel Dxi Total 25OHD",8
406,550,24.2,"Beckman Unicel Dxi Total 25OHD",8
407,546,57.3,"DiaSorin Liaison Total",8
407,547,71.5,"DiaSorin Liaison Total",8
407,548,91.8,"DiaSorin Liaison Total",8
407,549,65,"DiaSorin Liaison Total",8
407,550,27.8,"DiaSorin Liaison Total",8
408,546,49.8,"LC-MS-MS",7
408,547,72.5,"LC-MS-MS",7
408,548,86.9,"LC-MS-MS",7
408,549,58.4,"LC-MS-MS",7
408,550,22.5,"LC-MS-MS",7
409,546,50.5,"IDS-iSYS New",9
409,547,69.3,"IDS-iSYS New",9
409,548,81.8,"IDS-iSYS New",9
409,549,59.8,"IDS-iSYS New",9
409,550,20.5,"IDS-iSYS New",9
410,546,62,"IDS-iSYS New",10
410,547,81.3,"IDS-iSYS New",10
410,548,102.5,"IDS-iSYS New",10
410,549,72.8,"IDS-iSYS New",10
410,550,28.3,"IDS-iSYS New",10
411,546,51,"Abbott Architect - New (5P02)",10
411,547,71,"Abbott Architect - New (5P02)",10
411,548,93,"Abbott Architect - New (5P02)",10
411,549,61,"Abbott Architect - New (5P02)",10
411,550,23,"Abbott Architect - New (5P02)",10
412,546,54,"LC-MS-MS",7
412,547,74,"LC-MS-MS",7
412,548,96,"LC-MS-MS",7
412,549,66,"LC-MS-MS",7
412,550,25,"LC-MS-MS",7
413,546,46.4,"DiaSorin Liaison Total",6
413,547,65.4,"DiaSorin Liaison Total",6
413,548,79.7,"DiaSorin Liaison Total",6
413,549,62.4,"DiaSorin Liaison Total",6
413,550,22.4,"DiaSorin Liaison Total",6
414,546,56.3,"DiaSorin Liaison Total",7
414,547,74.8,"DiaSorin Liaison Total",7
414,548,91.3,"DiaSorin Liaison Total",7
414,549,67.5,"DiaSorin Liaison Total",7
414,550,28.5,"DiaSorin Liaison Total",7
415,546,26.8,"DiaSorin Liaison Total",7
415,547,64.8,"DiaSorin Liaison Total",7
415,548,88.3,"DiaSorin Liaison Total",7
415,549,69,"DiaSorin Liaison Total",7
415,550,52,"DiaSorin Liaison Total",7
416,546,52,"LC-MS-MS",6
416,547,72,"LC-MS-MS",6
416,548,90,"LC-MS-MS",6
416,549,61,"LC-MS-MS",6
416,550,24,"LC-MS-MS",6
417,546,49.8,"Orgentec Alegria 25-OH Vitamin D",4
417,547,85,"Orgentec Alegria 25-OH Vitamin D",4
417,548,87,"Orgentec Alegria 25-OH Vitamin D",4
417,549,57.3,"Orgentec Alegria 25-OH Vitamin D",4
417,550,26.8,"Orgentec Alegria 25-OH Vitamin D",4
418,546,52.2,"DiaSorin Liaison Total",30
418,547,66.2,"DiaSorin Liaison Total",30
418,548,84.3,"DiaSorin Liaison Total",30
418,549,61.5,"DiaSorin Liaison Total",30
418,550,27.7,"DiaSorin Liaison Total",30
419,546,61.7,"DiaSorin Liaison Total",6
419,547,82.6,"DiaSorin Liaison Total",6
419,548,94.8,"DiaSorin Liaison Total",6
419,549,71.3,"DiaSorin Liaison Total",6
419,550,34.3,"DiaSorin Liaison Total",6
420,546,51,"Roche Vitamin D Total II",1
420,547,76,"Roche Vitamin D Total II",1
420,548,88,"Roche Vitamin D Total II",1
420,549,61,"Roche Vitamin D Total II",1
420,550,28,"Roche Vitamin D Total II",1
421,546,54.6,"DiaSorin Liaison Total",30
421,547,72,"DiaSorin Liaison Total",30
421,548,97.9,"DiaSorin Liaison Total",30
421,549,63.4,"DiaSorin Liaison Total",30
421,550,29,"DiaSorin Liaison Total",30
422,546,45.8,"DiaSorin Liaison Total",30
422,547,64.2,"DiaSorin Liaison Total",30
422,548,81.9,"DiaSorin Liaison Total",30
422,549,66.5,"DiaSorin Liaison Total",30
422,550,22.5,"DiaSorin Liaison Total",30
423,546,49,"Roche Vitamin D Total II",1
423,547,69,"Roche Vitamin D Total II",1
423,548,84,"Roche Vitamin D Total II",1
423,549,58,"Roche Vitamin D Total II",1
423,550,24,"Roche Vitamin D Total II",1
424,546,58.8,"DiaSorin Liaison Total",4
424,547,77.8,"DiaSorin Liaison Total",4
424,548,101,"DiaSorin Liaison Total",4
424,549,69.5,"DiaSorin Liaison Total",4
424,550,30.5,"DiaSorin Liaison Total",4
425,546,50,"Abbott Architect - New (5P02)",3
425,547,75,"Abbott Architect - New (5P02)",3
425,548,97,"Abbott Architect - New (5P02)",3
425,549,63,"Abbott Architect - New (5P02)",3
425,550,21,"Abbott Architect - New (5P02)",3
426,546,66.8,"Siemens ADVIA Centaur",4
426,547,82.8,"Siemens ADVIA Centaur",4
426,548,106.7,"Siemens ADVIA Centaur",4
426,549,74.5,"Siemens ADVIA Centaur",4
426,550,39.1,"Siemens ADVIA Centaur",4
427,546,51.3,"DiaSorin Liaison Total",8
427,547,65.3,"DiaSorin Liaison Total",8
427,548,86.5,"DiaSorin Liaison Total",8
427,549,62.8,"DiaSorin Liaison Total",8
427,550,23.8,"DiaSorin Liaison Total",8
428,546,58,"DiaSorin Liaison Total",7
428,547,76,"DiaSorin Liaison Total",7
428,548,97,"DiaSorin Liaison Total",7
428,549,69,"DiaSorin Liaison Total",7
428,550,31,"DiaSorin Liaison Total",7
429,546,60.1,"DiaSorin Liaison Total",9
429,547,76.1,"DiaSorin Liaison Total",9
429,548,94,"DiaSorin Liaison Total",9
429,549,70,"DiaSorin Liaison Total",9
429,550,30.7,"DiaSorin Liaison Total",9
430,546,56.8,"DiaSorin Liaison Total",4
430,547,75,"DiaSorin Liaison Total",4
430,548,94.3,"DiaSorin Liaison Total",4
430,549,69.3,"DiaSorin Liaison Total",4
430,550,31.8,"DiaSorin Liaison Total",4
431,546,55.9,"DiaSorin Liaison Total",4
431,547,68.4,"DiaSorin Liaison Total",4
431,548,89.4,"DiaSorin Liaison Total",4
431,549,66.2,"DiaSorin Liaison Total",4
431,550,26.5,"DiaSorin Liaison Total",4
432,546,59,"DiaSorin Liaison Total",8
432,547,73,"DiaSorin Liaison Total",8
432,548,98,"DiaSorin Liaison Total",8
432,549,72,"DiaSorin Liaison Total",8
432,550,30,"DiaSorin Liaison Total",8
433,546,53,"DiaSorin Liaison Total",15
433,547,72,"DiaSorin Liaison Total",15
433,548,88,"DiaSorin Liaison Total",15
433,549,62.3,"DiaSorin Liaison Total",15
433,550,27.3,"DiaSorin Liaison Total",15
434,546,61.8,"DiaSorin Liaison Total",9
434,547,79.2,"DiaSorin Liaison Total",9
434,548,96.1,"DiaSorin Liaison Total",9
434,549,71.9,"DiaSorin Liaison Total",9
434,550,31.1,"DiaSorin Liaison Total",9
435,546,59.3,"DiaSorin Liaison Total",9
435,547,77.1,"DiaSorin Liaison Total",9
435,548,111,"DiaSorin Liaison Total",9
435,549,73.9,"DiaSorin Liaison Total",9
435,550,33.6,"DiaSorin Liaison Total",9
436,546,66.5,"DiaSorin Liaison Total",16
436,547,86.8,"DiaSorin Liaison Total",16
436,548,112,"DiaSorin Liaison Total",16
436,549,77,"DiaSorin Liaison Total",16
436,550,35.5,"DiaSorin Liaison Total",16
437,546,64,"DiaSorin Liaison Total",4
437,547,79,"DiaSorin Liaison Total",4
437,548,96.5,"DiaSorin Liaison Total",4
437,549,69.3,"DiaSorin Liaison Total",4
437,550,29,"DiaSorin Liaison Total",4
438,546,46,"Siemens ADVIA Centaur",4
438,547,67,"Siemens ADVIA Centaur",4
438,548,79,"Siemens ADVIA Centaur",4
438,549,61,"Siemens ADVIA Centaur",4
438,550,26,"Siemens ADVIA Centaur",4
439,546,57.6,"LC-MS-MS",4
439,547,67.3,"LC-MS-MS",4
439,548,75.3,"LC-MS-MS",4
439,549,68.1,"LC-MS-MS",4
439,550,25.6,"LC-MS-MS",4
440,546,55.3,"Abbott Architect - New (5P02)",6
440,547,77.3,"Abbott Architect - New (5P02)",6
440,548,91.3,"Abbott Architect - New (5P02)",6
440,549,62.8,"Abbott Architect - New (5P02)",6
440,550,25.5,"Abbott Architect - New (5P02)",6
441,546,49,"Roche Total 25OHD",1
441,547,78,"Roche Total 25OHD",1
441,548,95,"Roche Total 25OHD",1
441,549,56,"Roche Total 25OHD",1
441,550,21,"Roche Total 25OHD",1
442,546,59,"IDS-iSYS New",7
442,547,77,"IDS-iSYS New",7
442,548,87,"IDS-iSYS New",7
442,549,63,"IDS-iSYS New",7
442,550,26,"IDS-iSYS New",7
443,546,43.7,"LC-MS-MS",12
443,547,63.7,"LC-MS-MS",12
443,548,72.9,"LC-MS-MS",12
443,549,48,"LC-MS-MS",12
443,550,18.9,"LC-MS-MS",12
444,546,40.7,"Roche Vitamin D Total II",1
444,547,59.3,"Roche Vitamin D Total II",1
444,548,77.7,"Roche Vitamin D Total II",1
444,549,53.9,"Roche Vitamin D Total II",1
444,550,21.8,"Roche Vitamin D Total II",1
445,546,47,"Roche Vitamin D Total II",1
445,547,68,"Roche Vitamin D Total II",1
445,548,82,"Roche Vitamin D Total II",1
445,549,64,"Roche Vitamin D Total II",1
445,550,23,"Roche Vitamin D Total II",1
446,546,54,"LC-MS-MS",2
446,547,73,"LC-MS-MS",2
446,548,82,"LC-MS-MS",2
446,549,64,"LC-MS-MS",2
446,550,26,"LC-MS-MS",2
447,546,51.8,"Abbott Architect - New (5P02)",7
447,547,73.8,"Abbott Architect - New (5P02)",7
447,548,95.8,"Abbott Architect - New (5P02)",7
447,549,61.5,"Abbott Architect - New (5P02)",7
447,550,23.8,"Abbott Architect - New (5P02)",7
448,546,49.3,"SNIBE Maglumi 25OH Vit D",3
448,547,64.1,"SNIBE Maglumi 25OH Vit D",3
448,548,92.7,"SNIBE Maglumi 25OH Vit D",3
448,549,57.9,"SNIBE Maglumi 25OH Vit D",3
448,550,28.1,"SNIBE Maglumi 25OH Vit D",3
449,546,39,"IDS EIA",8
449,547,54,"IDS EIA",8
449,548,68,"IDS EIA",8
449,549,41,"IDS EIA",8
449,550,14,"IDS EIA",8
450,546,55.8,"LC-MS-MS",7
450,547,78,"LC-MS-MS",7
450,548,86.9,"LC-MS-MS",7
450,549,69,"LC-MS-MS",7
450,550,26.5,"LC-MS-MS",7
451,546,50.4,"LC-MS-MS",30
451,547,72.9,"LC-MS-MS",30
451,548,91.2,"LC-MS-MS",30
451,549,62.2,"LC-MS-MS",30
451,550,25.2,"LC-MS-MS",30
452,546,57,"Roche Total 25OHD",7
452,547,85,"Roche Total 25OHD",7
452,548,104,"Roche Total 25OHD",7
452,549,68,"Roche Total 25OHD",7
452,550,26,"Roche Total 25OHD",7
453,546,45.8,"Beckman Unicel Dxi Total 25OHD",7
453,547,74.2,"Beckman Unicel Dxi Total 25OHD",7
453,548,89.8,"Beckman Unicel Dxi Total 25OHD",7
453,549,53.5,"Beckman Unicel Dxi Total 25OHD",7
453,550,20.7,"Beckman Unicel Dxi Total 25OHD",7
454,546,45,"LC-MS-MS",5
454,547,70,"LC-MS-MS",5
454,548,90,"LC-MS-MS",5
454,549,65,"LC-MS-MS",5
454,550,22.5,"LC-MS-MS",5
455,546,61.5,"Bio-Rad BioPlex 2200",2
455,547,85.3,"Bio-Rad BioPlex 2200",2
455,548,96.7,"Bio-Rad BioPlex 2200",2
455,549,64.9,"Bio-Rad BioPlex 2200",2
455,550,33.6,"Bio-Rad BioPlex 2200",2
456,546,58.9,"DiaSorin Liaison Total",8
456,547,77.3,"DiaSorin Liaison Total",8
456,548,95.1,"DiaSorin Liaison Total",8
456,549,68.8,"DiaSorin Liaison Total",8
456,550,29.2,"DiaSorin Liaison Total",8
457,546,62.2,"IDS-iSYS New",1
457,547,81.1,"IDS-iSYS New",1
457,548,102.1,"IDS-iSYS New",1
457,549,73.2,"IDS-iSYS New",1
457,550,28.9,"IDS-iSYS New",1
458,546,45,"IDS-iSYS",8
458,547,62.5,"IDS-iSYS",8
458,548,80,"IDS-iSYS",8
458,549,62.5,"IDS-iSYS",8
458,550,22.5,"IDS-iSYS",8
459,546,48.8,"Abbott Architect - New (5P02)",7
459,547,66.2,"Abbott Architect - New (5P02)",7
459,548,91.1,"Abbott Architect - New (5P02)",7
459,549,57.5,"Abbott Architect - New (5P02)",7
459,550,20.1,"Abbott Architect - New (5P02)",7
460,546,51.5,"DiaSorin Liaison Total",7
460,547,70.4,"DiaSorin Liaison Total",7
460,548,90.9,"DiaSorin Liaison Total",7
460,549,63.3,"DiaSorin Liaison Total",7
460,550,26,"DiaSorin Liaison Total",7
461,546,53,"Siemens ADVIA Centaur",1
461,547,75,"Siemens ADVIA Centaur",1
461,548,86,"Siemens ADVIA Centaur",1
461,549,57,"Siemens ADVIA Centaur",1
461,550,37,"Siemens ADVIA Centaur",1
462,546,46.8,"DiaSorin Liaison Total",30
462,547,63.3,"DiaSorin Liaison Total",30
462,548,81.5,"DiaSorin Liaison Total",30
462,549,56,"DiaSorin Liaison Total",30
462,550,23.7,"DiaSorin Liaison Total",30
463,546,57.5,"IDS-iSYS",8
463,547,83,"IDS-iSYS",8
463,548,98,"IDS-iSYS",8
463,549,64,"IDS-iSYS",8
463,550,24.3,"IDS-iSYS",8
464,546,46.8,"LC-MS-MS",1
464,547,65.4,"LC-MS-MS",1
464,548,81.9,"LC-MS-MS",1
464,549,55.7,"LC-MS-MS",1
464,550,21.5,"LC-MS-MS",1
465,546,57.2,"Roche Total 25OHD",7
465,547,86.9,"Roche Total 25OHD",7
465,548,102.3,"Roche Total 25OHD",7
465,549,66.2,"Roche Total 25OHD",7
465,550,27.1,"Roche Total 25OHD",7
466,546,47.8,"Beckman Unicel Dxi Total 25OHD",1
466,547,66.8,"Beckman Unicel Dxi Total 25OHD",1
466,548,83.7,"Beckman Unicel Dxi Total 25OHD",1
466,549,47.8,"Beckman Unicel Dxi Total 25OHD",1
466,550,16.7,"Beckman Unicel Dxi Total 25OHD",1
467,546,56.5,"Roche Total 25OHD",2
467,547,77.9,"Roche Total 25OHD",2
467,548,95.2,"Roche Total 25OHD",2
467,549,61.6,"Roche Total 25OHD",2
467,550,26.8,"Roche Total 25OHD",2
468,546,56,"Abbott Architect - Old (3L52)",4
468,547,80.3,"Abbott Architect - Old (3L52)",4
468,548,109.5,"Abbott Architect - Old (3L52)",4
468,549,64.8,"Abbott Architect - Old (3L52)",4
468,550,25,"Abbott Architect - Old (3L52)",4
469,546,68,"Siemens ADVIA Centaur",8
469,547,93.4,"Siemens ADVIA Centaur",8
469,548,118.8,"Siemens ADVIA Centaur",8
469,549,82.2,"Siemens ADVIA Centaur",8
469,550,44.1,"Siemens ADVIA Centaur",8
470,546,50.9,"LC-MS-MS",4
470,547,71.7,"LC-MS-MS",4
470,548,87.3,"LC-MS-MS",4
470,549,58.2,"LC-MS-MS",4
470,550,21.9,"LC-MS-MS",4
471,546,60,"DiaSorin Liaison Total",4
471,547,78,"DiaSorin Liaison Total",4
471,548,101,"DiaSorin Liaison Total",4
471,549,72.5,"DiaSorin Liaison Total",4
471,550,32,"DiaSorin Liaison Total",4
472,546,48.3,"Beckman Unicel Dxi Total 25OHD",6
472,547,56.9,"Beckman Unicel Dxi Total 25OHD",6
472,548,85.8,"Beckman Unicel Dxi Total 25OHD",6
472,549,47.2,"Beckman Unicel Dxi Total 25OHD",6
472,550,17.1,"Beckman Unicel Dxi Total 25OHD",6
473,546,56,"DiaSorin Liaison Total",2
473,547,70.8,"DiaSorin Liaison Total",2
473,548,106,"DiaSorin Liaison Total",2
473,549,64.5,"DiaSorin Liaison Total",2
473,550,27.4,"DiaSorin Liaison Total",2
474,546,49.7,"DiaSorin Liaison Total",8
474,547,70.1,"DiaSorin Liaison Total",8
474,548,86.8,"DiaSorin Liaison Total",8
474,549,58.5,"DiaSorin Liaison Total",8
474,550,26.1,"DiaSorin Liaison Total",8
475,546,53.8,"DiaSorin Liaison Total",10
475,547,75.3,"DiaSorin Liaison Total",10
475,548,94,"DiaSorin Liaison Total",10
475,549,66.8,"DiaSorin Liaison Total",10
475,550,29.5,"DiaSorin Liaison Total",10
476,546,46.5,"DiaSorin Liaison Total",8
476,547,65.8,"DiaSorin Liaison Total",8
476,548,85.8,"DiaSorin Liaison Total",8
476,549,54.8,"DiaSorin Liaison Total",8
476,550,22.8,"DiaSorin Liaison Total",8
477,546,56.3,"DiaSorin Liaison Total",9
477,547,75.5,"DiaSorin Liaison Total",9
477,548,87.8,"DiaSorin Liaison Total",9
477,549,59.3,"DiaSorin Liaison Total",9
477,550,26.8,"DiaSorin Liaison Total",9
478,546,56.5,"Beckman Unicel Dxi Total 25OHD",1
478,547,85.1,"Beckman Unicel Dxi Total 25OHD",1
478,548,98.9,"Beckman Unicel Dxi Total 25OHD",1
478,549,65.8,"Beckman Unicel Dxi Total 25OHD",1
478,550,30,"Beckman Unicel Dxi Total 25OHD",1
479,546,62,"Beckman Unicel Dxi Total 25OHD",1
479,547,69,"Beckman Unicel Dxi Total 25OHD",1
479,548,91,"Beckman Unicel Dxi Total 25OHD",1
479,549,59,"Beckman Unicel Dxi Total 25OHD",1
479,550,33,"Beckman Unicel Dxi Total 25OHD",1
480,546,44.4,"Roche Vitamin D Total II",9
480,547,61.6,"Roche Vitamin D Total II",9
480,548,74.5,"Roche Vitamin D Total II",9
480,549,55,"Roche Vitamin D Total II",9
480,550,21,"Roche Vitamin D Total II",9
481,546,46,"Beckman Unicel Dxi Total 25OHD",3
481,547,70,"Beckman Unicel Dxi Total 25OHD",3
481,548,90,"Beckman Unicel Dxi Total 25OHD",3
481,549,46,"Beckman Unicel Dxi Total 25OHD",3
481,550,23,"Beckman Unicel Dxi Total 25OHD",3
482,546,54,"Roche Vitamin D Total II",1
482,547,75,"Roche Vitamin D Total II",1
482,548,87,"Roche Vitamin D Total II",1
482,549,61,"Roche Vitamin D Total II",1
482,550,29,"Roche Vitamin D Total II",1
483,546,59,"Roche Total 25OHD",2
483,547,87,"Roche Total 25OHD",2
483,548,106,"Roche Total 25OHD",2
483,549,69,"Roche Total 25OHD",2
483,550,29,"Roche Total 25OHD",2
484,546,54.1,"LC-MS-MS",42
484,547,73.2,"LC-MS-MS",42
484,548,93.4,"LC-MS-MS",42
484,549,62.9,"LC-MS-MS",42
484,550,25.3,"LC-MS-MS",42
485,546,53.7,"LC-MS-MS",4
485,547,75.1,"LC-MS-MS",4
485,548,96.5,"LC-MS-MS",4
485,549,66.3,"LC-MS-MS",4
485,550,27.3,"LC-MS-MS",4
486,546,54.3,"Roche Total 25OHD",4
486,547,78.5,"Roche Total 25OHD",4
486,548,93.8,"Roche Total 25OHD",4
486,549,68.9,"Roche Total 25OHD",4
486,550,29.4,"Roche Total 25OHD",4
487,546,53,"Abbott Architect - New (5P02)",1
487,547,70,"Abbott Architect - New (5P02)",1
487,548,99,"Abbott Architect - New (5P02)",1
487,549,61,"Abbott Architect - New (5P02)",1
487,550,22,"Abbott Architect - New (5P02)",1
488,546,42.4,"Beckman Unicel Dxi Total 25OHD",1
488,547,73.3,"Beckman Unicel Dxi Total 25OHD",1
488,548,85.1,"Beckman Unicel Dxi Total 25OHD",1
488,549,53,"Beckman Unicel Dxi Total 25OHD",1
488,550,23.7,"Beckman Unicel Dxi Total 25OHD",1
489,546,49.2,"LC-MS-MS",7
489,547,65.7,"LC-MS-MS",7
489,548,86.7,"LC-MS-MS",7
489,549,65.5,"LC-MS-MS",7
489,550,22.4,"LC-MS-MS",7
490,546,50,"Beckman Unicel Dxi Total 25OHD",6
490,547,77.5,"Beckman Unicel Dxi Total 25OHD",6
490,548,92.5,"Beckman Unicel Dxi Total 25OHD",6
490,549,62.5,"Beckman Unicel Dxi Total 25OHD",6
490,550,30,"Beckman Unicel Dxi Total 25OHD",6
491,546,49,"IDS-iSYS",10
491,547,58.8,"IDS-iSYS",10
491,548,71.3,"IDS-iSYS",10
491,549,63.7,"IDS-iSYS",10
491,550,NA,"IDS-iSYS",10
492,546,57,"LC-MS-MS",8
492,547,82,"LC-MS-MS",8
492,548,103,"LC-MS-MS",8
492,549,72,"LC-MS-MS",8
492,550,23,"LC-MS-MS",8
493,546,61.8,"Roche Total 25OHD",8
493,547,95,"Roche Total 25OHD",8
493,548,110.7,"Roche Total 25OHD",8
493,549,68.5,"Roche Total 25OHD",8
493,550,29.7,"Roche Total 25OHD",8
494,546,60,"Roche Total 25OHD",2
494,547,91,"Roche Total 25OHD",2
494,548,102,"Roche Total 25OHD",2
494,549,64,"Roche Total 25OHD",2
494,550,25,"Roche Total 25OHD",2
495,546,53,"LC-MS-MS",1
495,547,76,"LC-MS-MS",1
495,548,85,"LC-MS-MS",1
495,549,62,"LC-MS-MS",1
495,550,23,"LC-MS-MS",1
496,546,52.5,"DiaSorin Liaison Total",7
496,547,70,"DiaSorin Liaison Total",7
496,548,87.5,"DiaSorin Liaison Total",7
496,549,70,"DiaSorin Liaison Total",7
496,550,30,"DiaSorin Liaison Total",7
497,546,51.2,"Abbott Architect - New (5P02)",7
497,547,76.3,"Abbott Architect - New (5P02)",7
497,548,98.5,"Abbott Architect - New (5P02)",7
497,549,61.8,"Abbott Architect - New (5P02)",7
497,550,23.3,"Abbott Architect - New (5P02)",7
498,546,55.5,"DiaSorin Liaison Total",4
498,547,77,"DiaSorin Liaison Total",4
498,548,103,"DiaSorin Liaison Total",4
498,549,81,"DiaSorin Liaison Total",4
498,550,31.4,"DiaSorin Liaison Total",4
499,546,50,"LC-MS-MS",10
499,547,73,"LC-MS-MS",10
